Web Series,Positive,Negative,Neutral,Analysis,Status
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive
Nailed It,33,13,53,You Decide,Neutral
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative
Naruto Shippuden: The Movie: The Lost Tower,7,0,0,Go and Watch,Positive
Naruto the Movie 2: Legend of the Stone of Gelel,0,0,0,Go and Watch,Positive
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,0,0,0,Go and Watch,Positive
Naruto the Movie: Ninja Clash in the Land of Snow,0,7,3,Do not Watch,Negative
Nightbooks,17,13,33,You Decide,Neutral
Numberblocks,27,17,57,You Decide,Neutral
Raja Rasoi Aur Anya Kahaniyan,3,0,0,Go and Watch,Positive
Saved by the Bell,80,10,10,Go and Watch,Positive
Schumacher,43,13,43,Go and Watch,Positive
Stories by Rabindranath Tagore,13,0,3,You Decide,Neutral
Too Hot To Handle: Latino,7,3,13,Go and Watch,Positive
A StoryBots Space Adventure,0,0,0,Go and Watch,Positive
Jack Whitehall: Travels with My Father,0,3,3,Do not Watch,Negative
King of Boys,30,27,43,You Decide,Neutral
The World's Most Amazing Vacation Rentals,10,0,0,Go and Watch,Positive
You vs. Wild: Out Cold,0,0,0,Go and Watch,Positive
Yowamushi Pedal,27,17,57,You Decide,Neutral
Little Singham - Black Shadow,0,0,0,Go and Watch,Positive
Tughlaq Durbar,3,3,0,Go and Watch,Positive
Tughlaq Durbar (Telugu),0,0,0,Go and Watch,Positive
Firedrake the Silver Dragon,0,0,0,Go and Watch,Positive
Kate,23,7,70,You Decide,Neutral
Lucifer,20,23,57,You Decide,Neutral
Metal Shop Masters,7,3,3,Go and Watch,Positive
Omo Ghetto: the Saga,17,10,10,Go and Watch,Positive
Pokémon Master Journeys: The Series,7,0,7,Go and Watch,Positive
Prey,40,37,23,Go and Watch,Positive
Titipo Titipo,23,0,67,You Decide,Neutral
Blood Brothers: Malcolm X & Muhammad Ali,0,0,7,You Decide,Neutral
Mighty Raju,7,0,20,Go and Watch,Positive
Paradise Hills,73,10,17,Go and Watch,Positive
The Women and the Murderer,20,70,10,Do not Watch,Negative
Into the Night,33,27,40,You Decide,Neutral
JJ+E,33,13,53,You Decide,Neutral
Show Dogs,47,27,27,Go and Watch,Positive
The Circle,60,17,23,Go and Watch,Positive
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0,0,0,Go and Watch,Positive
Kid Cosmic,17,23,60,You Decide,Neutral
Octonauts: Above & Beyond,7,3,0,Go and Watch,Positive
On the Verge,30,43,27,Do not Watch,Negative
Tobot Galaxy Detectives,0,0,3,You Decide,Neutral
Untold: Breaking Point,13,3,13,Do not Watch,Negative
Countdown: Inspiration4 Mission to Space,23,0,57,You Decide,Neutral
Shadow Parties,50,33,17,Go and Watch,Positive
Tayo the Little Bus,13,7,27,Do not Watch,Negative
Angamaly Diaries,17,0,47,You Decide,Neutral
Bunk'd,40,20,40,Go and Watch,Positive
A Champion Heart,77,17,7,Go and Watch,Positive
Dive Club,50,10,40,Go and Watch,Positive
La casa de papel,7,30,63,Go and Watch,Positive
Money Heist: From Tokyo to Berlin,0,0,3,You Decide,Neutral
Sharkdog,23,37,40,You Decide,Neutral
Worth,60,27,13,Go and Watch,Positive
Afterlife of the Party,53,47,0,Go and Watch,Positive
Anjaam,10,7,83,You Decide,Neutral
Bright Star,67,10,23,Go and Watch,Positive
Dhanak,40,7,53,Do not Watch,Negative
Final Account,33,20,47,You Decide,Neutral
Gurgaon,20,37,43,You Decide,Neutral
Here and There,33,40,27,Do not Watch,Negative
Heroes of Goo Jit Zu,43,0,0,Go and Watch,Positive
Hotel Del Luna,17,23,60,You Decide,Neutral
In the Cut,20,63,17,Do not Watch,Negative
Luv Kushh,0,0,0,Go and Watch,Positive
Pororo - The Little Penguin,7,7,10,Go and Watch,Positive
Q-Force,20,23,57,You Decide,Neutral
Shikara,40,27,33,Go and Watch,Positive
A Cinderella Story,37,10,53,You Decide,Neutral
Agatha Christie's Crooked House,0,0,0,Go and Watch,Positive
An Unfinished Life,20,47,33,Do not Watch,Negative
Barbie Big City Big Dreams,93,3,3,Go and Watch,Positive
Blade Runner: The Final Cut,23,60,17,Do not Watch,Negative
Brave Animated Series,53,7,10,Do not Watch,Negative
Chappie,43,27,30,Go and Watch,Positive
Clear and Present Danger,27,63,10,Do not Watch,Negative
Cliffhanger,43,20,37,Go and Watch,Positive
Cold Mountain,57,17,27,Go and Watch,Positive
Crocodile Dundee in Los Angeles,0,0,7,You Decide,Neutral
Dear John,80,7,13,Go and Watch,Positive
Do the Right Thing,57,30,13,Go and Watch,Positive
"El patrón, radiografía de un crimen",3,0,47,You Decide,Neutral
Extraction,43,27,30,Go and Watch,Positive
Freedom Writers,73,13,13,Go and Watch,Positive
Green Lantern,50,10,40,Go and Watch,Positive
House Party,67,27,7,You Decide,Neutral
House Party 2,47,33,20,Go and Watch,Positive
House Party 3,47,27,27,Go and Watch,Positive
How to Be a Cowboy,50,27,23,Go and Watch,Positive
HQ Barbers,0,0,0,Go and Watch,Positive
I Got the Hook Up,53,13,33,Go and Watch,Positive
In Too Deep,40,27,33,Go and Watch,Positive
Initial D,23,27,50,You Decide,Neutral
Janoskians: Untold and Untrue,0,0,0,Go and Watch,Positive
Kid-E-Cats,0,0,13,You Decide,Neutral
Kuroko's Basketball,23,23,53,You Decide,Neutral
Labyrinth,27,17,57,You Decide,Neutral
Letters to Juliet,7,3,90,You Decide,Neutral
Level 16,37,17,47,You Decide,Neutral
Love Don't Cost a Thing,90,10,0,Go and Watch,Positive
Love in a Puff,83,10,7,Go and Watch,Positive
Major Dad,53,23,23,Go and Watch,Positive
Mars Attacks!,3,90,7,Do not Watch,Negative
Marshall,43,13,43,Go and Watch,Positive
My Boss's Daughter,50,17,33,Go and Watch,Positive
Mystery Men,40,43,17,Do not Watch,Negative
Oldsters,23,33,43,You Decide,Neutral
Once Upon a Time in America,23,10,67,You Decide,Neutral
Open Season 2,43,20,37,Go and Watch,Positive
Osmosis Jones,27,10,63,You Decide,Neutral
Poseidon,40,17,43,You Decide,Neutral
Rhyme & Reason,17,50,33,Do not Watch,Negative
Same Kind of Different as Me,67,7,27,Do not Watch,Negative
School of Rock,47,10,43,Go and Watch,Positive
Snervous Tyler Oakley,0,0,0,Go and Watch,Positive
Tears of the Sun,47,47,7,You Decide,Neutral
The Blue Lagoon,37,13,50,You Decide,Neutral
The Golden Child,27,23,50,You Decide,Neutral
The Guns of Navarone,20,13,67,You Decide,Neutral
The Interview,43,23,33,Go and Watch,Positive
The Nutty Professor,27,27,47,You Decide,Neutral
The Nutty Professor II: The Klumps,7,10,10,Go and Watch,Positive
Turning Point: 9/11 and the War on Terror,0,17,0,Do not Watch,Negative
Welcome Home Roscoe Jenkins,90,7,0,Go and Watch,Positive
In the Line of Fire,40,53,7,You Decide,Neutral
Sparking Joy,83,17,0,Go and Watch,Positive
Untold: Crime & Penalties,3,17,3,Go and Watch,Positive
Hometown Cha-Cha-Cha,20,20,60,You Decide,Neutral
The Ingenuity of the Househusband,0,0,3,You Decide,Neutral
2 Alone in Paris,7,10,3,Go and Watch,Positive
Bread Barbershop,7,7,10,Go and Watch,Positive
Thimmarusu,17,0,3,You Decide,Neutral
Wind River,40,23,37,Go and Watch,Positive
C Kkompany,0,0,0,Go and Watch,Positive
D.P.,20,17,63,You Decide,Neutral
Deadly Sins,20,70,10,Do not Watch,Negative
EMI: Liya Hai To Chukana Padega,0,0,0,Go and Watch,Positive
He's All That,53,23,23,Go and Watch,Positive
I Heart Arlo,13,13,27,You Decide,Neutral
King of Boys: The Return of the King,3,7,10,Do not Watch,Negative
Koi Aap Sa,17,10,73,You Decide,Neutral
Krishna Cottage,3,3,17,Go and Watch,Positive
Kucch To Hai,7,7,87,You Decide,Neutral
Kyaa Kool Hai Hum,0,0,0,Go and Watch,Positive
Kyaa Kool Hain Hum 3,0,0,0,Go and Watch,Positive
Kyaa Super Kool Hain Hum,0,3,0,Do not Watch,Negative
Kyo Kii... Main Jhuth Nahin Bolta,0,0,0,Go and Watch,Positive
"LSD: Love, Sex Aur Dhokha",0,0,0,Go and Watch,Positive
Mission Istaanbul: Darr Ke Aagey Jeet Hai,0,0,0,Go and Watch,Positive
Once Upon a Time in Mumbaai,3,3,3,Go and Watch,Positive
Once Upon a Time in Mumbai Dobaara!,0,0,0,Go and Watch,Positive
Ragini MMS,17,0,43,You Decide,Neutral
Ragini MMS 2,7,0,13,Go and Watch,Positive
Rebellion,47,40,13,Go and Watch,Positive
RIDE ON TIME,67,3,30,Go and Watch,Positive
SAS: Rise of the Black Swan,10,7,7,Do not Watch,Negative
Shootout at Lokhandwala,30,0,33,You Decide,Neutral
Shor In the City,3,0,13,Go and Watch,Positive
The Dirty Picture,30,60,10,Do not Watch,Negative
Titletown High,10,3,3,Do not Watch,Negative
EDENS ZERO,20,23,57,You Decide,Neutral
Family Reunion,20,10,70,You Decide,Neutral
"Bob Ross: Happy Accidents, Betrayal & Greed",0,13,0,Do not Watch,Negative
Clickbait,40,17,43,You Decide,Neutral
John of God: The Crimes of a Spiritual Healer,0,0,0,Go and Watch,Positive
Motel Makeover,17,3,17,Do not Watch,Negative
Open Your Eyes,43,27,30,Go and Watch,Positive
Post Mortem: No One Dies in Skarnes,0,3,3,Do not Watch,Negative
Really Love,87,3,10,Go and Watch,Positive
The November Man,33,30,37,You Decide,Neutral
The Old Ways,60,30,10,Go and Watch,Positive
The River Runner,43,20,37,Go and Watch,Positive
The Water Man,27,37,37,Do not Watch,Negative
Wheel of Fortune,40,17,43,You Decide,Neutral
Count Me In,43,3,53,You Decide,Neutral
Oggy Oggy,23,20,57,You Decide,Neutral
Untold: Caitlyn Jenner,3,0,10,Go and Watch,Positive
Boomika,3,0,23,Go and Watch,Positive
Boomika (Hindi),0,0,0,Go and Watch,Positive
Boomika (Malayalam),0,0,0,Go and Watch,Positive
Boomika (Telugu),0,0,0,Go and Watch,Positive
The Witcher: Nightmare of the Wolf,13,7,30,Do not Watch,Negative
Manifest,33,20,47,You Decide,Neutral
Comedy Premium League,0,0,0,Go and Watch,Positive
Everything Will Be Fine,83,10,7,Go and Watch,Positive
Gunshot,10,60,30,Do not Watch,Negative
Korean Cold Noodle Rhapsody,0,0,0,Go and Watch,Positive
Man in Love,67,10,23,Go and Watch,Positive
Sweet Girl,90,7,3,Go and Watch,Positive
The Chair,33,27,40,You Decide,Neutral
The Loud House Movie,13,57,30,Do not Watch,Negative
A Faraway Land,40,23,37,Go and Watch,Positive
Like Crazy,57,43,0,Go and Watch,Positive
Black Island,33,13,53,You Decide,Neutral
Bombay,27,10,63,You Decide,Neutral
Go! Go! Cory Carson,10,0,10,Go and Watch,Positive
Memories of a Murderer: The Nilsen Tapes,0,20,0,Do not Watch,Negative
Nneka The Pretty Serpent,73,27,0,Go and Watch,Positive
O Kadhal Kanmani,7,7,20,Go and Watch,Positive
Out of my league,57,23,20,Go and Watch,Positive
Pahuna,0,3,13,Do not Watch,Negative
The Defeated,17,83,0,Do not Watch,Negative
The Secret Diary of an Exchange Student,0,0,0,Go and Watch,Positive
Untold: Deal With the Devil,3,0,0,Go and Watch,Positive
Mother Goose Club,7,7,13,Go and Watch,Positive
Walk of Shame,17,73,10,Do not Watch,Negative
Rascal Does Not Dream of Bunny Girl Senpai,23,70,7,Do not Watch,Negative
The Creative Indians,23,7,7,Do not Watch,Negative
The Piano,50,20,30,Go and Watch,Positive
Unroyal,23,30,47,You Decide,Neutral
Winx Club,30,23,47,You Decide,Neutral
Beckett,33,23,43,You Decide,Neutral
Brand New Cherry Flavor,10,30,60,You Decide,Neutral
Fast & Furious Spy Racers,3,43,0,Do not Watch,Negative
Gone for Good,83,10,7,Go and Watch,Positive
Grace and Frankie,93,3,3,Go and Watch,Positive
The Kingdom,50,17,33,Go and Watch,Positive
Valeria,3,10,87,You Decide,Neutral
AlRawabi School for Girls,17,27,57,You Decide,Neutral
Lokillo: Nothing's the Same,0,0,0,Go and Watch,Positive
Monster Hunter: Legends of the Guild,7,0,0,Go and Watch,Positive
Bake Squad,23,13,50,You Decide,Neutral
Brother Jekwu,0,0,3,You Decide,Neutral
La diosa del asfalto,3,3,13,Go and Watch,Positive
Misha and the Wolves,10,7,10,Do not Watch,Negative
The Kissing Booth 3,87,7,7,Go and Watch,Positive
The Railway Man,27,43,30,Do not Watch,Negative
Gabby's Dollhouse,57,3,40,Go and Watch,Positive
I Need Romance,57,20,23,Go and Watch,Positive
Las muñecas de la mafia,3,23,73,You Decide,Neutral
The Crowned Clown,37,17,47,You Decide,Neutral
Untold: Malice at the Palace,10,0,7,You Decide,Neutral
SHAMAN KING,10,27,63,You Decide,Neutral
Quartet,20,3,77,You Decide,Neutral
Slay,40,3,57,You Decide,Neutral
Takizawa Kabuki ZERO 2020 The Movie,3,0,0,Go and Watch,Positive
The Paper Tigers,33,30,37,You Decide,Neutral
Hit & Run,23,53,23,Do not Watch,Negative
Navarasa,17,10,73,You Decide,Neutral
Quam's Money,3,0,10,Go and Watch,Positive
The Swarm,53,27,20,Go and Watch,Positive
Vivo,10,20,70,You Decide,Neutral
Chennai Express,17,20,63,You Decide,Neutral
City of God: 10 Years Later,3,0,0,Go and Watch,Positive
Esperando la carroza,3,27,70,You Decide,Neutral
Lady Boss: The Jackie Collins Story,10,0,3,You Decide,Neutral
Tango Feroz,7,17,77,You Decide,Neutral
'76,10,17,73,You Decide,Neutral
Aftermath,20,43,37,Do not Watch,Negative
American Masters: Inventing David Geffen,0,0,0,Go and Watch,Positive
Car Masters: Rust to Riches,7,0,0,Go and Watch,Positive
Cocaine Cowboys: The Kings of Miami,7,0,3,Go and Watch,Positive
Control Z,13,37,50,You Decide,Neutral
Cooking With Paris,57,7,37,Do not Watch,Negative
Autumn's Concerto,10,10,17,You Decide,Neutral
Heavy,20,37,43,You Decide,Neutral
Ije: The Journey,3,0,0,Go and Watch,Positive
Office Girls,63,13,23,Go and Watch,Positive
Pray Away,50,37,13,Go and Watch,Positive
Shiny_Flakes: The Teenage Drug Lord,0,0,0,Go and Watch,Positive
The Prince Who Turns into a Frog,3,3,3,Go and Watch,Positive
Top Secret UFO Projects: Declassified,20,0,3,You Decide,Neutral
Two Fathers,63,20,17,Go and Watch,Positive
You're My Destiny,63,10,27,Go and Watch,Positive
30 Rock,20,20,60,You Decide,Neutral
44 Cats,30,20,50,You Decide,Neutral
Beethoven,20,30,50,You Decide,Neutral
Beethoven's 2nd,23,7,37,Do not Watch,Negative
Beowulf,17,17,67,You Decide,Neutral
Boyka: Undisputed,13,7,30,Do not Watch,Negative
Catch Me If You Can,23,13,63,You Decide,Neutral
Cloudy with a Chance of Meatballs,83,10,7,Go and Watch,Positive
Darwin’s Game,23,23,53,You Decide,Neutral
Deep Blue Sea,43,43,13,Go and Watch,Positive
Ferris Bueller's Day Off,47,7,47,Do not Watch,Negative
Five Feet Apart,23,27,50,You Decide,Neutral
Freedomland,23,10,67,You Decide,Neutral
Friday Night Lights,27,23,50,You Decide,Neutral
Good Luck Chuck,93,3,3,Go and Watch,Positive
Hunter X Hunter (2011),17,3,80,You Decide,Neutral
I missed you: Director's Cut,0,0,0,Go and Watch,Positive
Inception,20,20,60,You Decide,Neutral
Magnolia,13,10,77,You Decide,Neutral
Major Payne,30,20,50,You Decide,Neutral
My Girl,47,17,37,Go and Watch,Positive
My Girl 2,40,33,27,Go and Watch,Positive
Open Season: Scared Silly,0,3,0,Do not Watch,Negative
Pineapple Express,20,23,57,You Decide,Neutral
Planet 51,27,17,57,You Decide,Neutral
Poms,17,3,80,You Decide,Neutral
Seabiscuit,47,17,37,Go and Watch,Positive
Space Cowboys,37,27,37,Go and Watch,Positive
Team America: World Police,40,17,43,You Decide,Neutral
The Edge of Seventeen,47,23,30,Go and Watch,Positive
The Haunting in Connecticut 2: Ghosts of Georgia,0,0,0,Go and Watch,Positive
The Last Boy Scout,33,20,47,You Decide,Neutral
The Lincoln Lawyer,20,17,63,You Decide,Neutral
The Losers,27,67,7,You Decide,Neutral
The Machinist,60,13,27,Go and Watch,Positive
The Net,27,13,60,You Decide,Neutral
The Original Kings of Comedy,33,0,0,Go and Watch,Positive
Valentine's Day,43,20,37,Go and Watch,Positive
Charmed,53,23,23,Go and Watch,Positive
The Lost Café,53,43,3,Go and Watch,Positive
The Vault,27,17,57,You Decide,Neutral
Centaurworld,40,17,43,You Decide,Neutral
Eyes of a Thief,33,47,20,Do not Watch,Negative
Glow Up,23,17,60,You Decide,Neutral
I'm Glad I Did,80,17,3,Go and Watch,Positive
Khawatir,7,10,83,You Decide,Neutral
Myth & Mogul: John DeLorean,0,0,0,Go and Watch,Positive
Outer Banks,30,13,57,You Decide,Neutral
Pomegranates and Myrrh,7,0,0,Go and Watch,Positive
Rurouni Kenshin: The Beginning,17,10,33,You Decide,Neutral
The Last Mercenary,20,57,23,Do not Watch,Negative
Flower Girl,53,3,43,Go and Watch,Positive
Resort to Love,70,20,10,Go and Watch,Positive
Transformers: War for Cybertron: Kingdom,0,63,3,Do not Watch,Negative
Bartkowiak,7,13,80,You Decide,Neutral
Fantastic Fungi,83,7,10,Go and Watch,Positive
Tattoo Redo,40,10,27,Go and Watch,Positive
The Flash,43,33,23,Go and Watch,Positive
The Snitch Cartel: Origins,0,0,0,Go and Watch,Positive
All American,30,33,37,You Decide,Neutral
Department,40,30,30,Go and Watch,Positive
Hostage House,17,53,30,Do not Watch,Negative
How to Sell Drugs Online (Fast),20,13,67,You Decide,Neutral
Mighty Express,33,27,40,You Decide,Neutral
Mimi,10,10,80,You Decide,Neutral
Plastic Cup Boyz: Laughing My Mask Off!,3,0,0,Go and Watch,Positive
The Operative,47,23,30,Go and Watch,Positive
The Walking Dead,7,77,17,Do not Watch,Negative
Wynonna Earp,27,13,60,You Decide,Neutral
Django Unchained,40,7,53,Do not Watch,Negative
A Second Chance:  Rivals!,7,7,0,Go and Watch,Positive
African America,23,30,47,You Decide,Neutral
Bankrolled,50,20,30,Go and Watch,Positive
Blood Red Sky,30,23,47,You Decide,Neutral
Feels Like Ishq,30,3,0,Go and Watch,Positive
Kingdom: Ashin of the North,23,10,63,You Decide,Neutral
Masters of the Universe: Revelation,7,7,87,You Decide,Neutral
Revelations: The Masters of the Universe: Revelation Aftershow,0,0,0,Go and Watch,Positive
Sky Rojo,10,30,60,You Decide,Neutral
The Last Letter From Your Lover,87,7,7,Go and Watch,Positive
The Movies That Made Us,50,30,20,Go and Watch,Positive
9to5: The Story of a Movement,20,0,3,You Decide,Neutral
Chhota Bheem - Dinosaur World,0,0,0,Go and Watch,Positive
Chhota Bheem - Neeli Pahaadi,0,0,0,Go and Watch,Positive
Chhota Bheem & Ganesh,0,0,0,Go and Watch,Positive
Chhota Bheem & Krishna: Mayanagari,0,0,0,Go and Watch,Positive
Chhota Bheem & Krishna: Pataliputra- City of the Dead,0,0,0,Go and Watch,Positive
Chhota Bheem And The Broken Amulet,0,0,0,Go and Watch,Positive
Chhota Bheem And The Crown of Valhalla,0,0,0,Go and Watch,Positive
Chhota Bheem and the Incan Adventure,0,0,0,Go and Watch,Positive
Chhota Bheem and The ShiNobi Secret,0,0,0,Go and Watch,Positive
Chhota Bheem Aur Hanuman,0,0,0,Go and Watch,Positive
Chhota Bheem aur Krishna,0,0,3,You Decide,Neutral
Chhota Bheem aur Krishna vs Zimbara,0,0,0,Go and Watch,Positive
Chhota Bheem in African Safari,0,0,0,Go and Watch,Positive
Chhota Bheem Ka Roosi Romanch,0,0,0,Go and Watch,Positive
Chhota Bheem: Bheem vs Aliens,0,0,0,Go and Watch,Positive
Chhota Bheem: Dholakpur to Kathmandu,0,0,0,Go and Watch,Positive
Chhota Bheem: Dus Pe Dus,0,0,0,Go and Watch,Positive
Chhota Bheem: Journey to Petra,0,0,0,Go and Watch,Positive
Chhota Bheem: Master of Shaolin,0,0,0,Go and Watch,Positive
Chhota Bheem: The Rise of Kirmada,0,0,0,Go and Watch,Positive
Chicago Med,37,17,47,You Decide,Neutral
Cousins,40,20,40,Go and Watch,Positive
Wannabe Courageous,7,0,0,Go and Watch,Positive
Words Bubble Up Like Soda Pop,93,7,0,Go and Watch,Positive
Sanitation Day,43,20,37,Go and Watch,Positive
Sexy Beasts,70,27,3,Go and Watch,Positive
Too Hot to Handle: Brazil,10,0,10,Go and Watch,Positive
Trollhunters: Rise of the Titans,0,7,17,Do not Watch,Negative
Milkwater,3,3,7,You Decide,Neutral
Okupas,3,33,63,You Decide,Neutral
Touch Your Heart,37,17,47,You Decide,Neutral
The Tambour of Retribution,3,0,13,Go and Watch,Positive
Cosmic Sin,13,47,40,Do not Watch,Negative
2 Weeks in Lagos,13,40,47,You Decide,Neutral
Deep,37,20,43,You Decide,Neutral
Explained,53,13,33,Go and Watch,Positive
Fear Street Part 3: 1666,0,13,0,Do not Watch,Negative
Johnny Test,10,3,87,You Decide,Neutral
La ley de Herodes,10,17,73,You Decide,Neutral
Naomi Osaka,20,23,57,You Decide,Neutral
The Beguiled,23,13,63,You Decide,Neutral
The Book of Henry,53,10,37,Go and Watch,Positive
The Twilight Saga: Breaking Dawn: Part 1,13,13,73,You Decide,Neutral
